0_age_at_initial_pathologic_diagnosis,1_hsa.let.7f.5p,1_hsa.let.7g.5p,1_hsa.miR.105.5p,1_hsa.miR.106b.3p,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.1228.3p,1_hsa.miR.125b.1.3p,1_hsa.miR.126.5p,1_hsa.miR.128.3p,1_hsa.miR.130b.5p,1_hsa.miR.143.5p,1_hsa.miR.148a.5p,1_hsa.miR.15b.5p,1_hsa.miR.196b.5p,1_hsa.miR.199a.3p,1_hsa.miR.200b.5p,1_hsa.miR.215.5p,1_hsa.miR.219a.2.3p,1_hsa.miR.222.3p,1_hsa.miR.222.5p,1_hsa.miR.224.5p,1_hsa.miR.23a.5p,1_hsa.miR.23b.5p,1_hsa.miR.26a.2.3p,1_hsa.miR.3074.5p,1_hsa.miR.31.3p,1_hsa.miR.3157.3p,1_hsa.miR.32.3p,1_hsa.miR.335.3p,1_hsa.miR.346,1_hsa.miR.3613.5p,1_hsa.miR.361.3p,1_hsa.miR.378a.3p,1_hsa.miR.3940.3p,1_hsa.miR.424.5p,1_hsa.miR.452.5p,1_hsa.miR.455.5p,1_hsa.miR.4709.3p,1_hsa.miR.4728.3p,1_hsa.miR.484,1_hsa.miR.548b.3p,1_hsa.miR.548d.3p,1_hsa.miR.550a.3p,1_hsa.miR.616.3p,1_hsa.miR.618,1_hsa.miR.6806.3p,1_hsa.miR.767.3p,1_hsa.miR.7974,1_hsa.miR.93.5p,1_hsa.miR.513a.3p,1_hsa.miR.520e
0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0
0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0
0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
